crisis_index,crisis_name,crisis_iso3
1,Afghanistan,AFG
2,Bangladesh,BGD
3,Burkina Faso,BFA
4,Burundi,BDI
5,Cameroon,CMR
6,Central African Republic,CAF
7,Chad,TCD
8,Colombia,COL
9,Democratic Republic of the Congo,COD
10,Ethiopia,ETH
11,Haiti,HTI
12,Iraq,IRQ
13,Kenya,KEN
14,Lebanon,LBN
15,Libya,LBY
16,Mali,MLI
17,Mozambique,MOZ
18,Myanmar,MMR
19,Niger,NER
20,Nigeria,NGA
21,occupied Palestinian territory,PSE
22,Somalia,SOM
23,South Sudan,SSD
24,Sudan,SDN
25,Syria,SYR
26,Ukraine,UKR
27,Venezuela,VEN
28,Yemen,YEM
29,Zambia,ZMB
30,Zimbabwe,ZWE
